fantasy_player_name,fantasy_player_id,fantasy,fantasy_id
D.Wicks,00-0038393,D.Wicks,00-0038393
J.Jacobs,00-0035700,J.Jacobs,00-0035700
0,0,0,0
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
M.Alie-Cox,00-0033217,M.Alie-Cox,00-0033217
A.Richardson,00-0039164,A.Richardson,00-0039164
J.Taylor,00-0036223,J.Taylor,00-0036223
M.Pittman,00-0036252,M.Pittman,00-0036252
0,0,0,0
0,0,0,0
B.Melton,00-0037091,B.Melton,00-0037091
T.Kraft,00-0038996,T.Kraft,00-0038996
0,0,Em.Wilson,00-0038797
J.Reed,00-0039146,J.Reed,00-0039146
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Pierce,00-0037664,A.Pierce,00-0037664
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
T.Sermon,00-0036984,T.Sermon,00-0036984
0,0,0,0
J.Jacobs,00-0035700,J.Jacobs,00-0035700
M.Willis,00-0038128,M.Willis,00-0038128
R.Doubs,00-0037816,R.Doubs,00-0037816
J.Jacobs,00-0035700,J.Jacobs,00-0035700
M.Willis,00-0038128,M.Willis,00-0038128
0,0,0,0
0,0,0,0
0,0,0,0
A.Mitchell,00-0039890,A.Mitchell,00-0039890
M.Pittman,00-0036252,M.Pittman,00-0036252
M.Pittman,00-0036252,M.Pittman,00-0036252
J.Jacobs,00-0035700,J.Jacobs,00-0035700
R.Doubs,00-0037816,R.Doubs,00-0037816
M.Lloyd,00-0039811,M.Lloyd,00-0039811
J.Jacobs,00-0035700,J.Jacobs,00-0035700
J.Jacobs,00-0035700,J.Jacobs,00-0035700
L.Musgrave,00-0039144,L.Musgrave,00-0039144
D.Wicks,00-0038393,D.Wicks,00-0038393
Em.Wilson,00-0038797,Em.Wilson,00-0038797
M.Lloyd,00-0039811,M.Lloyd,00-0039811
M.Willis,00-0038128,M.Willis,00-0038128
0,0,0,0
T.Goodson,00-0037120,T.Goodson,00-0037120
A.Pierce,00-0037664,A.Pierce,00-0037664
A.Pierce,00-0037664,A.Pierce,00-0037664
M.Pittman,00-0036252,M.Pittman,00-0036252
A.Dulin,00-0035021,A.Dulin,00-0035021
K.Granson,00-0036876,K.Granson,00-0036876
A.Pierce,00-0037664,A.Pierce,00-0037664
K.Granson,00-0036876,K.Granson,00-0036876
0,0,0,0
T.Sermon,00-0036984,T.Sermon,00-0036984
0,0,0,0
A.Richardson,00-0039164,A.Richardson,00-0039164
A.Pierce,00-0037664,A.Pierce,00-0037664
0,0,0,0
0,0,0,0
J.Jacobs,00-0035700,J.Jacobs,00-0035700
J.Jacobs,00-0035700,J.Jacobs,00-0035700
J.Jacobs,00-0035700,J.Jacobs,00-0035700
0,0,0,0
0,0,0,0
A.Pierce,00-0037664,A.Pierce,00-0037664
0,0,0,0
A.Mitchell,00-0039890,A.Mitchell,00-0039890
A.Richardson,00-0039164,A.Richardson,00-0039164
A.Ogletree,00-0037292,A.Ogletree,00-0037292
0,0,0,0
0,0,0,0
0,0,0,0
D.Swift,00-0036275,D.Swift,00-0036275
D.Moore,00-0034827,D.Moore,00-0034827
C.Kmet,00-0036290,C.Kmet,00-0036290
R.Johnson,00-0039021,R.Johnson,00-0039021
R.Johnson,00-0039021,R.Johnson,00-0039021
R.Johnson,00-0039021,R.Johnson,00-0039021
D.Moore,00-0034827,D.Moore,00-0034827
D.Swift,00-0036275,D.Swift,00-0036275
D.Moore,00-0034827,D.Moore,00-0034827
R.Odunze,00-0039919,R.Odunze,00-0039919
0,0,0,0
0,0,A.Dulin,00-0035021
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Downs,00-0038997,J.Downs,00-0038997
A.Pierce,00-0037664,A.Pierce,00-0037664
0,0,0,0
0,0,D.Moore,00-0034827
0,0,0,0
D.Swift,00-0036275,D.Swift,00-0036275
0,0,D.Carter,00-0031763
D.Swift,00-0036275,D.Swift,00-0036275
C.Kmet,00-0036290,C.Kmet,00-0036290
0,0,0,0
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
0,0,0,0
J.Downs,00-0038997,J.Downs,00-0038997
0,0,0,0
D.Moore,00-0034827,D.Moore,00-0034827
R.Johnson,00-0039021,R.Johnson,00-0039021
R.Johnson,00-0039021,R.Johnson,00-0039021
0,0,0,0
D.Carter,00-0031763,D.Carter,00-0031763
0,0,0,0
0,0,0,0
M.Pittman,00-0036252,M.Pittman,00-0036252
A.Richardson,00-0039164,A.Richardson,00-0039164
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Pierce,00-0037664,A.Pierce,00-0037664
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Richardson,00-0039164,A.Richardson,00-0039164
A.Dulin,00-0035021,A.Dulin,00-0035021
R.Odunze,00-0039919,R.Odunze,00-0039919
K.Herbert,00-0036906,K.Herbert,00-0036906
0,0,0,0
D.Carter,00-0031763,D.Carter,00-0031763
J.Taylor,00-0036223,J.Taylor,00-0036223
K.Granson,00-0036876,K.Granson,00-0036876
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
0,0,0,0
D.Swift,00-0036275,D.Swift,00-0036275
D.Swift,00-0036275,D.Swift,00-0036275
R.Johnson,00-0039021,R.Johnson,00-0039021
R.Odunze,00-0039919,R.Odunze,00-0039919
D.Swift,00-0036275,D.Swift,00-0036275
D.Moore,00-0034827,D.Moore,00-0034827
D.Carter,00-0031763,D.Carter,00-0031763
G.Everett,00-0033895,G.Everett,00-0033895
0,0,D.Carter,00-0031763
D.Moore,00-0034827,D.Moore,00-0034827
D.Swift,00-0036275,D.Swift,00-0036275
C.Kmet,00-0036290,C.Kmet,00-0036290
R.Johnson,00-0039021,R.Johnson,00-0039021
K.Herbert,00-0036906,K.Herbert,00-0036906
K.Herbert,00-0036906,K.Herbert,00-0036906
K.Herbert,00-0036906,K.Herbert,00-0036906
D.Swift,00-0036275,D.Swift,00-0036275
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
J.Downs,00-0038997,J.Downs,00-0038997
J.Downs,00-0038997,J.Downs,00-0038997
0,0,0,0
D.Moore,00-0034827,D.Moore,00-0034827
R.Johnson,00-0039021,R.Johnson,00-0039021
R.Johnson,00-0039021,R.Johnson,00-0039021
C.Williams,00-0039918,C.Williams,00-0039918
0,0,D.Moore,00-0034827
D.Carter,00-0031763,D.Carter,00-0031763
C.Kmet,00-0036290,C.Kmet,00-0036290
0,0,0,0
D.Moore,00-0034827,D.Moore,00-0034827
0,0,0,0
M.Pittman,00-0036252,M.Pittman,00-0036252
C.Kmet,00-0036290,C.Kmet,00-0036290
D.Swift,00-0036275,D.Swift,00-0036275
0,0,0,0
C.Kmet,00-0036290,C.Kmet,00-0036290
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
M.Pittman,00-0036252,M.Pittman,00-0036252
M.Pittman,00-0036252,M.Pittman,00-0036252
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
R.Odunze,00-0039919,R.Odunze,00-0039919
D.Swift,00-0036275,D.Swift,00-0036275
0,0,0,0
0,0,0,0
R.Odunze,00-0039919,R.Odunze,00-0039919
0,0,J.Taylor,00-0036223
J.Downs,00-0038997,J.Downs,00-0038997
A.Richardson,00-0039164,A.Richardson,00-0039164
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
D.Swift,00-0036275,D.Swift,00-0036275
D.Swift,00-0036275,D.Swift,00-0036275
R.Odunze,00-0039919,R.Odunze,00-0039919
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
M.Pittman,00-0036252,M.Pittman,00-0036252
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
T.Sermon,00-0036984,T.Sermon,00-0036984
A.Richardson,00-0039164,A.Richardson,00-0039164
T.Sermon,00-0036984,T.Sermon,00-0036984
0,0,0,0
0,0,0,0
D.Swift,00-0036275,D.Swift,00-0036275
0,0,0,0
D.Swift,00-0036275,D.Swift,00-0036275
C.Kmet,00-0036290,C.Kmet,00-0036290
D.Moore,00-0034827,D.Moore,00-0034827
D.Swift,00-0036275,D.Swift,00-0036275
R.Odunze,00-0039919,R.Odunze,00-0039919
D.Swift,00-0036275,D.Swift,00-0036275
R.Odunze,00-0039919,R.Odunze,00-0039919
C.Kmet,00-0036290,C.Kmet,00-0036290
R.Johnson,00-0039021,R.Johnson,00-0039021
D.Moore,00-0034827,D.Moore,00-0034827
C.Kmet,00-0036290,C.Kmet,00-0036290
0,0,0,0
R.Odunze,00-0039919,R.Odunze,00-0039919
K.Herbert,00-0036906,K.Herbert,00-0036906
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
M.Alie-Cox,00-0033217,M.Alie-Cox,00-0033217
A.Mitchell,00-0039890,A.Mitchell,00-0039890
0,0,0,0
0,0,0,0
A.Richardson,00-0039164,A.Richardson,00-0039164
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
0,0,0,0
R.Odunze,00-0039919,R.Odunze,00-0039919
0,0,R.Johnson,00-0039021
C.Kmet,00-0036290,C.Kmet,00-0036290
R.Johnson,00-0039021,R.Johnson,00-0039021
R.Odunze,00-0039919,R.Odunze,00-0039919
R.Johnson,00-0039021,R.Johnson,00-0039021
0,0,0,0
R.Johnson,00-0039021,R.Johnson,00-0039021
R.Odunze,00-0039919,R.Odunze,00-0039919
D.Carter,00-0031763,D.Carter,00-0031763
D.Moore,00-0034827,D.Moore,00-0034827
D.Carter,00-0031763,D.Carter,00-0031763
C.Kmet,00-0036290,C.Kmet,00-0036290
0,0,0,0
0,0,0,0
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Richardson,00-0039164,A.Richardson,00-0039164
A.Richardson,00-0039164,A.Richardson,00-0039164
A.Richardson,00-0039164,A.Richardson,00-0039164
0,0,0,0
0,0,0,0
M.Pittman,00-0036252,M.Pittman,00-0036252
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
M.Pittman,00-0036252,M.Pittman,00-0036252
A.Richardson,00-0039164,A.Richardson,00-0039164
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
0,0,0,0
N.Harris,00-0036893,N.Harris,00-0036893
J.Fields,00-0036945,J.Fields,00-0036945
0,0,0,0
N.Harris,00-0036893,N.Harris,00-0036893
N.Harris,00-0036893,N.Harris,00-0036893
C.Austin,00-0037837,C.Austin,00-0037837
C.Patterson,00-0030578,C.Patterson,00-0030578
C.Patterson,00-0030578,C.Patterson,00-0030578
P.Freiermuth,00-0036894,P.Freiermuth,00-0036894
0,0,0,0
M.Pittman,00-0036252,M.Pittman,00-0036252
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Downs,00-0038997,J.Downs,00-0038997
A.Richardson,00-0039164,A.Richardson,00-0039164
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
A.Richardson,00-0039164,A.Richardson,00-0039164
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Downs,00-0038997,J.Downs,00-0038997
0,0,0,0
0,0,0,0
P.Freiermuth,00-0036894,P.Freiermuth,00-0036894
N.Harris,00-0036893,N.Harris,00-0036893
N.Harris,00-0036893,N.Harris,00-0036893
J.Fields,00-0036945,J.Fields,00-0036945
A.Mitchell,00-0039890,A.Mitchell,00-0039890
J.Downs,00-0038997,J.Downs,00-0038997
0,0,0,0
J.Downs,00-0038997,J.Downs,00-0038997
M.Pittman,00-0036252,M.Pittman,00-0036252
A.Mitchell,00-0039890,A.Mitchell,00-0039890
J.Taylor,00-0036223,J.Taylor,00-0036223
M.Pittman,00-0036252,M.Pittman,00-0036252
J.Downs,00-0038997,J.Downs,00-0038997
0,0,0,0
0,0,0,0
G.Pickens,00-0037247,G.Pickens,00-0037247
N.Harris,00-0036893,N.Harris,00-0036893
P.Freiermuth,00-0036894,P.Freiermuth,00-0036894
0,0,0,0
M.Pittman,00-0036252,M.Pittman,00-0036252
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
J.Taylor,00-0036223,J.Taylor,00-0036223
0,0,0,0
C.Patterson,00-0030578,C.Patterson,00-0030578
C.Patterson,00-0030578,C.Patterson,00-0030578
