play_id,game_id,season_type,week,game_date,season,order_sequence,nfl_api_id,id
2046.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2046.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2071.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2071.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2094.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2094.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
2116.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2116.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2141.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2141.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
2161.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2161.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
2185.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2185.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
2207.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2207.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0036223
2229.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2229.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039164
2249.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2249.0,7d402acc-1312-11ef-afd1-646009f18b2e,0
2278.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2278.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
2307.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2307.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2343.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2343.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0033897
2365.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2365.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2388.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2388.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
2413.0,2024_01_HOU_IND,REG,1,2024-09-08,2024,2413.0,7d402acc-1312-11ef-afd1-646009f18b2e,00-0039163
